account_id,customer_id,account_type,opening_date,balance,currency,status
ACC0116204,CUST051763,Savings,2014-09-27,21928600,TZS,Active
ACC0076101,CUST037763,Current,2023-05-24,20642600,TZS,Active
ACC0057182,CUST064973,Current,2019-08-10,3792913,TZS,Inactive
ACC0086885,CUST053568,Savings,2025-05-21,18286100,TZS,Active
ACC0127840,CUST012546,Savings,2019-12-13,12665600,TZS,Active
ACC0066397,CUST026309,Current,2018-08-03,38021700,TZS,Active
ACC0145947,CUST090535,Savings,2018-03-14,11072200,TZS,Active
ACC0003742,CUST030321,Current,2011-10-28,27874800,TZS,Active
ACC0147002,CUST002184,Savings,2018-11-10,14535300,TZS,Active
ACC0042528,CUST093219,Savings,2021-07-04,29920,TZS,Closed
ACC0119007,CUST094970,Savings,2020-05-02,3738300,TZS,Active
ACC0103813,CUST052307,Savings,2023-07-20,30000000,TZS,Active
ACC0106123,CUST064145,Savings,2015-02-08,30000000,TZS,Active
ACC0048789,CUST045576,Savings,2023-09-10,30000000,TZS,Active
ACC0122818,CUST010425,Savings,2011-10-07,16845500,TZS,Active
ACC0055319,CUST081653,Savings,2016-02-09,19468900,TZS,Active
ACC0060579,CUST028263,Savings,2018-03-22,21861300,TZS,Active
ACC0148613,CUST016127,Savings,2024-02-16,14242100,TZS,Active
ACC0021115,CUST007307,Savings,2025-03-29,26725200,TZS,Active
ACC0110111,CUST030398,Current,2016-10-29,33179800,TZS,Active
ACC0055349,CUST075695,Savings,2022-05-18,30000000,TZS,Active
ACC0024863,CUST085311,Current,2018-07-12,80000000,TZS,Active
ACC0107423,CUST000138,Savings,2021-10-11,11344100,TZS,Active
ACC0126879,CUST007706,Current,2019-08-11,24774800,TZS,Active
ACC0029589,CUST041443,Current,2016-08-30,80000000,TZS,Active
ACC0082993,CUST024673,Savings,2022-01-05,10371500,TZS,Active
ACC0023199,CUST008935,Savings,2012-10-19,4514223,TZS,Inactive
ACC0068766,CUST072954,Current,2012-06-12,54526500,TZS,Active
ACC0082468,CUST088638,Current,2016-09-19,80000000,TZS,Active
ACC0098297,CUST076529,Current,2011-10-23,29482300,TZS,Active
ACC0019222,CUST023788,Current,2018-11-24,18898100,TZS,Active
ACC0142413,CUST024391,Fixed Deposit,2012-04-25,500000000,TZS,Active
ACC0028398,CUST021273,Current,2014-10-11,32533100,TZS,Active
ACC0062422,CUST090613,Fixed Deposit,2022-07-14,143475700,TZS,Active
ACC0028526,CUST072457,Fixed Deposit,2020-06-28,324262900,TZS,Active
ACC0029861,CUST029886,Current,2014-10-22,7767085,TZS,Inactive
ACC0079500,CUST066101,Savings,2017-05-29,14218100,TZS,Active
ACC0121387,CUST083923,Current,2018-04-10,23538300,TZS,Active
ACC0027221,CUST091998,Current,2018-12-17,51112900,TZS,Active
ACC0058506,CUST030968,Current,2012-01-07,51488100,TZS,Active
ACC0033512,CUST056178,Fixed Deposit,2024-06-05,500000000,TZS,Active
ACC0088114,CUST084941,Fixed Deposit,2021-06-27,138513000,TZS,Active
ACC0011445,CUST030849,Savings,2015-09-19,14683500,TZS,Active
ACC0043104,CUST024158,Current,2022-05-10,38187700,TZS,Active
ACC0027424,CUST035443,Fixed Deposit,2022-05-21,322989300,TZS,Active
ACC0090377,CUST018894,Current,2013-04-26,48165900,TZS,Active
ACC0111281,CUST070060,Current,2019-09-29,33065600,TZS,Active
ACC0006915,CUST019892,Current,2017-09-18,40463000,TZS,Active
ACC0142175,CUST021418,Savings,2014-10-09,12469900,TZS,Active
ACC0111141,CUST066144,Current,2014-05-16,55821300,TZS,Active
ACC0120749,CUST015001,Savings,2014-01-28,15251000,TZS,Active
ACC0041840,CUST053301,Savings,2018-10-15,22711200,TZS,Active
ACC0110057,CUST098307,Savings,2022-01-23,30000000,TZS,Active
ACC0058226,CUST064514,Savings,2021-10-30,30000000,TZS,Active
ACC0109643,CUST042948,Savings,2016-03-26,9941900,TZS,Active
ACC0018687,CUST020024,Current,2013-11-17,22418100,TZS,Active
ACC0049407,CUST083055,Savings,2015-12-26,30000000,TZS,Active
ACC0128626,CUST002376,Savings,2020-01-14,30000000,TZS,Active
ACC0135067,CUST003236,Savings,2016-11-29,4964700,TZS,Active
ACC0058620,CUST042820,Savings,2016-03-22,20136500,TZS,Active
ACC0147625,CUST055522,Savings,2013-08-18,16216300,TZS,Active
ACC0114169,CUST062631,Current,2018-02-26,56577000,TZS,Active
ACC0019101,CUST091919,Savings,2016-10-28,23236600,TZS,Active
ACC0031888,CUST074187,Savings,2018-05-30,30000000,TZS,Active
ACC0111639,CUST015969,Current,2021-11-11,14429100,TZS,Active
ACC0132145,CUST068455,Savings,2025-02-26,16101300,TZS,Active
ACC0043023,CUST052937,Savings,2017-05-13,14385100,TZS,Active
ACC0083982,CUST051055,Fixed Deposit,2021-07-09,274952700,TZS,Active
ACC0026740,CUST065183,Current,2021-05-04,28316900,TZS,Active
ACC0013639,CUST002505,Savings,2019-12-11,15175600,TZS,Active
ACC0034532,CUST010465,Current,2012-09-17,63101900,TZS,Active
ACC0031667,CUST060338,Savings,2024-12-25,30000000,TZS,Active
ACC0085220,CUST018923,Current,2017-04-20,29709700,TZS,Active
ACC0142547,CUST091903,Current,2015-11-10,44427500,TZS,Active
ACC0030810,CUST076452,Savings,2025-12-01,29829500,TZS,Active
ACC0101522,CUST019459,Savings,2015-06-02,30000000,TZS,Active
ACC0149376,CUST076205,Current,2021-12-27,52730200,TZS,Active
ACC0148730,CUST030823,Fixed Deposit,2015-07-30,198538800,TZS,Active
ACC0073330,CUST077824,Savings,2018-05-09,13769300,TZS,Active
ACC0050881,CUST001639,Savings,2024-09-30,9507900,TZS,Active
ACC0094801,CUST087870,Savings,2020-05-21,23595400,TZS,Active
ACC0020882,CUST054379,Savings,2020-07-17,25650200,TZS,Active
ACC0025118,CUST047262,Savings,2023-06-05,16348500,TZS,Active
ACC0020292,CUST076551,Savings,2025-03-08,30000000,TZS,Active
ACC0137710,CUST001042,Current,2022-07-02,80000000,TZS,Active
ACC0097700,CUST069892,Fixed Deposit,2022-02-01,239863300,TZS,Active
ACC0075310,CUST092521,Fixed Deposit,2014-11-01,134877100,TZS,Active
ACC0120802,CUST037855,Savings,2020-12-06,23157600,TZS,Active
ACC0047502,CUST011779,Savings,2016-11-28,10870100,TZS,Active
ACC0131363,CUST039187,Current,2012-08-14,28402700,TZS,Active
ACC0031999,CUST044747,Current,2026-05-30,20909700,TZS,Active
ACC0066634,CUST035539,Fixed Deposit,2022-10-28,86576100,TZS,Active
ACC0002502,CUST009984,Fixed Deposit,2022-01-14,123254200,TZS,Active
ACC0027204,CUST096736,Current,2016-05-02,80000000,TZS,Active
ACC0137281,CUST017692,Savings,2024-02-13,9148514,TZS,Inactive
ACC0075275,CUST070916,Current,2022-05-22,41140200,TZS,Active
ACC0134667,CUST099914,Savings,2014-12-01,11877700,TZS,Active
ACC0100588,CUST006145,Fixed Deposit,2015-09-24,500000000,TZS,Active
ACC0080131,CUST046725,Current,2021-11-12,43227400,TZS,Active
ACC0071616,CUST041792,Current,2016-11-03,25201500,TZS,Active
ACC0070194,CUST009971,Fixed Deposit,2017-08-06,477,TZS,Closed
ACC0070779,CUST018621,Current,2023-05-05,28372,TZS,Closed
ACC0021039,CUST095204,Savings,2016-04-01,11104700,TZS,Active
ACC0035664,CUST031777,Current,2023-06-30,18999100,TZS,Active
ACC0109989,CUST056746,Current,2020-02-13,35739000,TZS,Active
ACC0073230,CUST043475,Current,2025-10-22,17474824,TZS,Inactive
ACC0118935,CUST080548,Savings,2023-11-13,27517900,TZS,Active
ACC0092247,CUST002002,Current,2023-11-05,68244800,TZS,Active
ACC0033673,CUST050745,Savings,2016-06-18,16794300,TZS,Active
ACC0080302,CUST076274,Current,2022-05-22,62524600,TZS,Active
ACC0105272,CUST007193,Savings,2023-04-14,18929300,TZS,Active
ACC0113642,CUST092076,Current,2015-08-01,80000000,TZS,Active
ACC0051721,CUST099968,Savings,2012-10-29,9266000,TZS,Active
ACC0105082,CUST019574,Savings,2011-10-02,30000000,TZS,Active
ACC0146263,CUST096365,Savings,2012-10-17,1978887,TZS,Inactive
ACC0009147,CUST070390,Savings,2022-03-27,24357000,TZS,Active
ACC0110891,CUST024214,Fixed Deposit,2016-08-03,253628600,TZS,Active
ACC0061205,CUST017621,Current,2024-03-01,24794400,TZS,Active
ACC0079870,CUST080376,Fixed Deposit,2018-12-13,440106200,TZS,Active
ACC0055323,CUST010086,Current,2023-07-13,18416100,TZS,Active
ACC0075447,CUST061029,Savings,2026-03-03,13491300,TZS,Active
ACC0059892,CUST055858,Current,2017-08-02,80000000,TZS,Active
ACC0109260,CUST057631,Current,2025-08-23,41266800,TZS,Active
ACC0140211,CUST029963,Savings,2013-03-07,19589800,TZS,Active
ACC0109151,CUST058751,Savings,2021-07-29,17382500,TZS,Active
ACC0009926,CUST048636,Savings,2017-12-21,16147200,TZS,Active
ACC0055329,CUST074933,Savings,2024-01-10,17315900,TZS,Active
ACC0119113,CUST011738,Savings,2018-09-09,11099000,TZS,Active
ACC0015728,CUST009087,Savings,2025-04-15,16612800,TZS,Active
ACC0005316,CUST056547,Savings,2025-07-06,12885000,TZS,Active
ACC0057428,CUST067761,Current,2025-01-24,51867300,TZS,Active
ACC0052124,CUST051637,Savings,2019-11-06,10621600,TZS,Active
ACC0019858,CUST046277,Fixed Deposit,2023-02-14,176197800,TZS,Active
ACC0114644,CUST084335,Savings,2015-06-30,23725800,TZS,Active
ACC0107897,CUST049446,Current,2014-12-01,28580700,TZS,Active
ACC0090075,CUST076680,Fixed Deposit,2025-08-29,500000000,TZS,Active
ACC0131126,CUST025051,Savings,2020-11-24,16050000,TZS,Active
ACC0010732,CUST095184,Savings,2016-11-18,12531800,TZS,Active
ACC0063838,CUST026874,Current,2024-09-14,13400500,TZS,Active
ACC0114311,CUST094843,Current,2014-12-26,72677400,TZS,Active
ACC0140521,CUST066002,Fixed Deposit,2024-11-27,42872,TZS,Closed
ACC0033335,CUST064829,Savings,2022-08-10,7409900,TZS,Active
ACC0035890,CUST031969,Current,2015-04-01,12091729,TZS,Inactive
ACC0025277,CUST052566,Current,2021-04-19,24115900,TZS,Active
ACC0128669,CUST020261,Fixed Deposit,2025-03-07,500000000,TZS,Active
ACC0042467,CUST040890,Savings,2020-09-12,5802800,TZS,Active
ACC0139276,CUST012332,Current,2025-06-13,61537000,TZS,Active
ACC0145786,CUST031923,Current,2013-11-30,32215600,TZS,Active
ACC0014303,CUST008082,Current,2017-11-17,29412900,TZS,Active
ACC0090862,CUST053900,Savings,2023-03-03,18121200,TZS,Active
ACC0075488,CUST036872,Savings,2021-06-10,20901800,TZS,Active
ACC0007680,CUST028298,Current,2020-01-26,51120900,TZS,Active
ACC0102574,CUST078343,Savings,2018-04-17,14221400,TZS,Active
ACC0001782,CUST033948,Savings,2022-07-12,18383500,TZS,Active
ACC0139048,CUST021780,Savings,2020-07-05,5859500,TZS,Active
ACC0064724,CUST030782,Fixed Deposit,2025-10-31,86367700,TZS,Active
ACC0105626,CUST051396,Savings,2022-01-06,15223800,TZS,Active
ACC0078826,CUST048491,Savings,2023-02-22,30000000,TZS,Active
ACC0121224,CUST077913,Fixed Deposit,2019-11-27,200304900,TZS,Active
ACC0036204,CUST053516,Savings,2020-10-16,9283693,TZS,Inactive
ACC0103938,CUST072381,Savings,2024-11-08,19473400,TZS,Active
ACC0099961,CUST018434,Current,2019-05-19,30346600,TZS,Active
ACC0061798,CUST082654,Current,2016-04-22,32772,TZS,Closed
ACC0102251,CUST074932,Fixed Deposit,2023-06-25,423900600,TZS,Active
ACC0124507,CUST042907,Savings,2020-08-11,46195,TZS,Closed
ACC0081571,CUST088657,Savings,2012-09-27,12595800,TZS,Active
ACC0091206,CUST011948,Savings,2020-09-28,23355000,TZS,Active
ACC0034067,CUST054180,Current,2020-12-25,55171300,TZS,Active
ACC0116975,CUST071816,Current,2020-02-24,17519900,TZS,Active
ACC0090549,CUST036408,Savings,2018-04-02,3707700,TZS,Active
ACC0063851,CUST057567,Savings,2019-12-28,13736100,TZS,Active
ACC0091315,CUST024016,Savings,2019-09-28,27419500,TZS,Active
ACC0093841,CUST020062,Savings,2019-12-25,11587500,TZS,Active
ACC0004643,CUST095296,Current,2020-06-20,64177200,TZS,Active
ACC0113342,CUST074420,Fixed Deposit,2024-03-15,68568810,TZS,Inactive
ACC0003246,CUST080995,Current,2019-06-11,35709700,TZS,Active
ACC0089561,CUST079290,Savings,2012-05-04,30000000,TZS,Active
ACC0039238,CUST097160,Savings,2024-10-24,12587000,TZS,Active
ACC0100553,CUST012352,Savings,2023-06-02,19227800,TZS,Active
ACC0128906,CUST005071,Savings,2014-12-30,5412800,TZS,Active
ACC0095134,CUST018270,Current,2012-06-30,9088900,TZS,Active
ACC0102667,CUST029963,Savings,2022-04-15,24472600,TZS,Active
ACC0071404,CUST049262,Savings,2013-03-28,11409000,TZS,Active
ACC0059457,CUST031379,Current,2016-05-03,20484600,TZS,Active
ACC0107202,CUST092781,Fixed Deposit,2015-09-06,152413800,TZS,Active
ACC0045968,CUST021839,Savings,2017-05-16,11672300,TZS,Active
ACC0051985,CUST029465,Current,2011-09-16,32020400,TZS,Active
ACC0132743,CUST030636,Savings,2025-12-06,5976000,TZS,Active
ACC0105086,CUST082393,Current,2025-02-27,32065,TZS,Closed
ACC0086702,CUST077822,Current,2022-11-05,16894875,TZS,Inactive
ACC0145982,CUST063098,Savings,2025-06-04,19172800,TZS,Active
ACC0009103,CUST047616,Savings,2015-08-26,13158800,TZS,Active
ACC0144741,CUST036064,Current,2018-01-07,2483781,TZS,Inactive
ACC0128364,CUST000407,Current,2015-11-18,63151100,TZS,Active
ACC0074404,CUST078253,Savings,2020-06-16,25933200,TZS,Active
